datetime,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2026-03-02,600519,1450.0,1440.11,1457.0,1436.66,35454,5115063511.0,1.4,-1.02,-14.91,0.28
2026-03-03,600519,1440.1,1426.19,1452.87,1422.13,45891,6565381648.0,2.13,-0.97,-13.92,0.37
2026-03-04,600519,1415.0,1401.18,1423.0,1392.09,48014,6743267103.0,2.17,-1.75,-25.01,0.38
2026-03-05,600519,1406.0,1399.04,1412.96,1395.0,30505,4276226062.0,1.28,-0.15,-2.14,0.24
2026-03-06,600519,1395.0,1402.0,1407.5,1388.0,29154,4072328833.0,1.39,0.21,2.96,0.23
2026-03-09,600519,1390.0,1397.0,1404.9,1383.2,37442,5220095639.0,1.55,-0.36,-5.0,0.3
2026-03-10,600519,1404.9,1401.88,1409.49,1398.0,24626,3457808916.0,0.82,0.35,4.88,0.2
2026-03-11,600519,1402.99,1400.0,1405.99,1398.02,24457,3425363892.0,0.57,-0.13,-1.88,0.2
2026-03-12,600519,1395.0,1392.0,1403.95,1391.01,27586,3850521717.0,0.92,-0.57,-8.0,0.22
2026-03-13,600519,1392.48,1413.64,1417.62,1392.0,33608,4738808558.0,1.84,1.55,21.64,0.27
2026-03-16,600519,1420.0,1460.18,1466.0,1420.0,60086,8711525836.0,3.25,3.29,46.54,0.48
2026-03-17,600519,1468.0,1485.0,1498.07,1461.19,49454,7347310632.0,2.53,1.7,24.82,0.39
2026-03-18,600519,1489.0,1468.8,1496.5,1463.15,35551,5239992522.0,2.25,-1.09,-16.2,0.28
2026-03-19,600519,1472.96,1452.87,1473.0,1446.0,30319,4404953481.0,1.84,-1.08,-15.93,0.24
2026-03-20,600519,1452.96,1445.0,1462.5,1439.0,26132,3782818260.0,1.62,-0.54,-7.87,0.21
2026-03-23,600519,1433.33,1408.07,1435.0,1400.03,47256,6669708665.0,2.42,-2.56,-36.93,0.38
2026-03-24,600519,1416.0,1407.33,1417.59,1400.18,28562,4017694387.0,1.24,-0.05,-0.74,0.23
2026-03-25,600519,1410.11,1410.27,1417.87,1401.01,26093,3677905549.0,1.2,0.21,2.94,0.21
2026-03-26,600519,1409.0,1401.18,1413.9,1400.3,23093,3243387502.0,0.96,-0.64,-9.09,0.18
2026-03-27,600519,1400.0,1416.02,1426.0,1396.66,30087,4257499781.0,2.09,1.06,14.84,0.24
